Refractive Index,Na,Mg,Al,Si,K,Ca,Ba,Fe,Class
e,g,j,c,g,g,b,f,a,1.0
e,e,h,d,h,f,b,g,a,1.0
e,h,h,f,e,e,a,g,a,1.0
d,f,f,c,f,e,d,g,a,1.0
b,g,g,g,g,d,a,g,a,1.0
j,i,j,a,a,b,i,e,b,1.0
f,a,f,f,i,f,e,e,b,1.0
e,c,g,c,g,i,e,e,b,1.0
f,e,i,e,d,f,c,e,b,1.0
e,f,h,b,h,g,c,e,b,1.0
h,i,h,f,b,f,c,f,b,1.0
f,d,f,d,f,h,e,h,c,1.0
i,h,h,e,a,c,f,j,c,1.0
e,a,h,e,j,g,e,h,d,1.0
g,c,f,e,g,h,d,h,d,1.0
d,c,f,e,h,f,d,h,d,1.0
e,b,g,d,i,g,d,h,d,1.0
h,h,g,e,b,e,g,i,d,1.0
f,e,f,f,d,g,d,h,d,1.0
e,e,h,b,i,f,c,f,e,1.0
j,h,j,a,a,c,i,d,e,1.0
f,b,e,e,g,i,f,b,e,1.0
f,b,f,b,h,i,g,b,e,1.0
e,b,i,d,g,h,e,b,e,1.0
a,f,e,c,e,f,e,b,e,1.0
j,i,j,b,a,c,h,c,e,1.0
e,b,e,c,i,g,f,c,e,1.0
h,g,i,b,d,c,f,c,f,1.0
e,b,g,e,h,h,e,b,f,1.0
f,b,g,e,g,f,f,c,f,1.0
f,e,e,e,e,g,e,b,f,1.0
i,g,j,b,b,b,f,b,f,1.0
e,b,h,d,f,g,f,b,f,1.0
f,b,i,c,h,h,f,b,f,1.0
i,h,h,b,b,c,h,d,f,1.0
h,h,i,c,c,b,g,a,f,1.0
h,g,d,c,b,g,g,a,f,1.0
j,i,j,a,a,c,i,d,f,1.0
j,i,j,a,b,c,i,d,g,1.0
h,j,j,a,b,b,h,a,g,1.0
j,e,j,a,b,c,i,d,g,1.0
e,b,f,c,i,f,e,d,g,1.0
h,g,f,e,b,e,h,a,g,1.0
g,e,d,d,f,e,h,a,g,1.0
g,f,d,c,f,e,h,a,g,1.0
j,f,h,a,b,c,j,c,g,1.0
e,a,e,f,j,h,e,b,h,1.0
e,d,g,h,e,e,d,h,h,1.0
i,g,j,b,b,c,i,d,h,1.0
f,e,d,e,g,e,h,a,h,1.0
j,i,i,a,a,b,i,e,h,1.0
h,e,d,d,c,h,h,b,h,1.0
i,g,j,b,b,d,i,d,h,1.0
e,d,h,e,g,f,d,i,h,1.0
e,f,i,c,f,f,c,f,h,1.0
f,a,g,e,h,h,f,b,i,1.0
h,e,e,c,e,g,g,a,i,1.0
i,d,h,b,c,d,i,e,i,1.0
j,h,i,a,a,c,i,d,i,1.0
i,d,i,b,c,d,i,e,i,1.0
i,d,i,b,c,d,i,e,i,1.0
e,c,g,d,i,e,d,i,i,1.0
e,b,g,g,e,e,e,h,i,1.0
f,c,f,d,g,h,e,i,j,1.0
a,c,e,f,i,j,b,f,j,1.0
a,b,e,h,i,j,b,g,j,1.0
f,a,c,d,j,f,h,a,j,1.0
b,b,h,h,g,i,b,g,j,1.0
f,b,e,c,g,i,g,b,j,1.0
a,c,e,b,g,i,d,h,j,1.0
