Refractive Index,Na,Mg,Al,Si,K,Ca,Ba,Fe,Class
h,f,h,f,c,e,f,a,a,2.0
c,g,b,g,d,i,b,f,a,2.0
b,d,h,g,f,h,b,f,a,2.0
b,d,j,g,g,h,c,g,a,2.0
d,e,a,g,f,f,b,g,a,2.0
c,f,f,d,f,j,b,g,a,2.0
d,f,i,h,d,j,b,g,a,2.0
d,c,j,h,g,h,b,g,a,2.0
g,f,a,d,f,e,c,g,a,2.0
g,d,c,c,d,h,d,g,a,2.0
b,e,i,f,i,h,a,g,a,2.0
b,d,j,g,h,j,a,g,a,2.0
a,e,g,f,i,d,b,f,a,2.0
b,c,c,j,e,j,b,f,a,2.0
d,c,f,h,i,i,b,f,b,2.0
d,d,f,i,e,i,c,e,b,2.0
a,b,c,i,f,j,b,e,b,2.0
b,f,f,g,e,d,c,e,b,2.0
b,d,f,g,i,j,a,e,b,2.0
d,a,d,h,i,j,e,e,b,2.0
a,e,f,f,h,d,c,f,b,2.0
b,c,e,f,h,d,c,f,b,2.0
g,f,i,e,c,e,c,f,b,2.0
c,g,i,f,d,i,a,f,b,2.0
c,b,e,g,i,i,c,f,b,2.0
g,f,j,c,d,g,c,f,b,2.0
a,i,j,j,c,j,a,h,b,2.0
j,e,b,c,e,e,e,h,d,2.0
d,g,b,i,d,i,b,h,d,2.0
d,b,i,g,j,i,a,i,d,2.0
b,d,j,g,h,j,a,i,d,2.0
c,f,e,h,f,h,a,i,d,2.0
d,h,g,i,b,i,a,i,d,2.0
g,e,b,e,d,g,d,i,d,2.0
g,c,a,f,g,h,g,i,d,2.0
i,h,a,f,c,d,j,c,e,2.0
g,h,h,a,j,b,j,c,e,2.0
j,h,g,c,a,b,j,c,e,2.0
d,a,b,h,f,j,h,c,e,2.0
j,a,b,a,h,a,j,b,f,2.0
d,c,g,d,e,f,f,b,f,2.0
j,h,c,a,a,c,j,c,f,2.0
j,a,c,a,i,a,j,d,g,2.0
j,a,e,a,b,b,j,d,g,2.0
j,j,e,b,e,c,j,d,h,2.0
c,a,i,i,i,i,b,g,h,2.0
b,d,j,g,f,j,b,f,h,2.0
g,e,a,f,c,e,c,f,h,2.0
j,h,d,f,a,d,j,d,h,2.0
c,f,d,g,d,i,b,g,h,2.0
a,j,a,i,b,c,a,g,i,2.0
h,c,j,g,d,g,e,b,i,2.0
f,d,i,b,h,f,d,h,i,2.0
h,g,c,d,d,g,c,e,i,2.0
b,h,d,d,f,d,a,f,i,2.0
g,d,g,b,c,i,h,a,i,2.0
f,h,d,g,b,e,c,e,i,2.0
i,g,a,h,c,e,i,i,i,2.0
g,e,g,b,f,g,d,i,i,2.0
i,h,h,f,b,e,i,e,i,2.0
i,h,a,h,a,d,j,c,i,2.0
a,d,j,h,i,b,d,i,i,2.0
g,a,i,a,j,d,h,d,j,2.0
c,c,i,h,g,i,b,f,j,2.0
c,b,d,f,i,f,g,i,j,2.0
g,c,f,b,c,i,g,a,j,2.0
c,c,h,d,g,g,g,a,j,2.0
j,a,b,b,a,c,j,e,j,2.0
e,a,c,c,j,i,g,a,j,2.0
c,b,f,f,h,j,c,i,j,2.0
f,e,i,e,c,f,e,h,j,2.0
j,a,f,j,a,g,j,j,j,2.0
d,f,a,g,d,i,b,f,j,2.0
g,g,j,d,b,e,c,g,j,2.0
j,a,d,i,c,j,j,d,j,2.0
g,c,f,d,d,h,f,b,j,2.0
