Refractive Index,Na,Mg,Al,Si,K,Ca,Ba,Fe,Class
e,g,e,c,g,g,b,f,a,1.0
e,e,g,d,h,f,b,g,a,1.0
e,h,j,f,e,e,a,g,a,1.0
d,f,j,c,f,e,d,g,a,1.0
b,g,h,g,g,d,a,g,a,1.0
j,i,d,a,a,b,i,e,b,1.0
f,a,j,f,i,f,e,e,b,1.0
e,c,d,c,g,i,e,e,b,1.0
f,e,e,e,d,f,c,e,b,1.0
e,f,j,b,h,g,c,e,b,1.0
h,i,g,f,b,f,c,f,b,1.0
f,d,e,d,f,h,e,h,c,1.0
i,h,b,e,a,c,f,j,c,1.0
e,a,j,e,j,g,e,h,d,1.0
g,c,a,e,g,h,d,h,d,1.0
d,c,e,e,h,f,d,h,d,1.0
e,b,b,d,i,g,d,h,d,1.0
h,h,i,e,b,e,g,i,d,1.0
f,e,c,f,d,g,d,h,d,1.0
e,e,h,b,i,f,c,f,e,1.0
j,h,g,a,a,c,i,d,e,1.0
f,b,h,e,g,i,f,b,e,1.0
f,b,c,b,h,i,g,b,e,1.0
e,b,b,d,g,h,e,b,e,1.0
a,f,i,c,e,f,e,b,e,1.0
j,i,a,b,a,c,h,c,e,1.0
e,b,h,c,i,g,f,c,e,1.0
h,g,b,b,d,c,f,c,f,1.0
e,b,d,e,h,h,e,b,f,1.0
f,b,h,e,g,f,f,c,f,1.0
f,e,a,e,e,g,e,b,f,1.0
i,g,d,b,b,b,f,b,f,1.0
e,b,a,d,f,g,f,b,f,1.0
f,b,i,c,h,h,f,b,f,1.0
i,h,i,b,b,c,h,d,f,1.0
h,h,a,c,c,b,g,a,f,1.0
h,g,a,c,b,g,g,a,f,1.0
j,i,e,a,a,c,i,d,f,1.0
j,i,c,a,b,c,i,d,g,1.0
h,j,g,a,b,b,h,a,g,1.0
j,e,g,a,b,c,i,d,g,1.0
e,b,j,c,i,f,e,d,g,1.0
h,g,g,e,b,e,h,a,g,1.0
g,e,j,d,f,e,h,a,g,1.0
g,f,h,c,f,e,h,a,g,1.0
j,f,b,a,b,c,j,c,g,1.0
e,a,a,f,j,h,e,b,h,1.0
e,d,e,h,e,e,d,h,h,1.0
i,g,h,b,b,c,i,d,h,1.0
f,e,h,e,g,e,h,a,h,1.0
j,i,d,a,a,b,i,e,h,1.0
h,e,b,d,c,h,h,b,h,1.0
i,g,b,b,b,d,i,d,h,1.0
e,d,d,e,g,f,d,i,h,1.0
e,f,e,c,f,f,c,f,h,1.0
f,a,a,e,h,h,f,b,i,1.0
h,e,f,c,e,g,g,a,i,1.0
i,d,c,b,c,d,i,e,i,1.0
j,h,f,a,a,c,i,d,i,1.0
i,d,c,b,c,d,i,e,i,1.0
i,d,c,b,c,d,i,e,i,1.0
e,c,i,d,i,e,d,i,i,1.0
e,b,i,g,e,e,e,h,i,1.0
f,c,b,d,g,h,e,i,j,1.0
a,c,g,f,i,j,b,f,j,1.0
a,b,f,h,i,j,b,g,j,1.0
f,a,j,d,j,f,h,a,j,1.0
b,b,e,h,g,i,b,g,j,1.0
f,b,b,c,g,i,g,b,j,1.0
a,c,g,b,g,i,d,h,j,1.0
