Date,Plant Stand,Precipitation,Temperature,Hail,Crop History,Area Damaged,Severity,Seed TMT,Germination,Plany Growth,Leaves,Leaf Spots: Halo,Leaf Spots: Margin,Leaf Spot Size,Leaf Shredding,Leaf Malformation,Leaf Mild,Stem,Lodging,Stem Cankers,Canker Lesion,Fruiting Bodies,External Decay,Mycellum,Int Discolor,Sclerotia,Fruit Pods,Fruit Spots,Seed,Mold Growth,Seed Discoloration,Seed Size,Shriveling,Roots,Class
0,1,2,0,0,1,1,1,1,1,1,0,0,2,2,0,0,0,1,0,1,3,1,1,1,0,0,3,4,0,0,0,0,0,0,D3
2,1,2,0,0,3,1,2,0,1,1,0,0,2,2,0,0,0,1,0,1,2,0,1,0,0,0,3,4,0,0,0,0,0,0,D3
2,1,2,0,0,2,1,2,0,2,1,0,0,2,2,0,0,0,1,0,1,2,0,1,1,0,0,3,4,0,0,0,0,0,0,D3
0,1,2,0,0,0,1,2,1,2,1,0,0,2,2,0,0,0,1,0,1,3,0,1,0,0,0,3,4,0,0,0,0,0,0,D3
0,1,2,0,0,2,1,1,1,1,1,0,0,2,2,0,0,0,1,0,1,2,0,1,0,0,0,3,4,0,0,0,0,0,0,D3
4,0,2,0,1,0,1,1,0,2,1,1,0,2,2,0,0,0,1,1,1,0,1,1,1,0,0,3,4,0,0,0,0,0,0,D3
2,1,2,0,0,3,1,1,0,2,1,0,0,2,2,0,0,0,1,0,1,2,1,1,1,0,0,3,4,0,0,0,0,0,0,D3
0,1,2,0,0,0,1,2,0,1,1,0,0,2,2,0,0,0,1,0,1,2,0,1,0,0,0,3,4,0,0,0,0,0,1,D3
3,0,2,0,1,3,1,2,0,1,1,0,0,2,2,0,0,0,1,1,1,1,0,1,1,0,0,3,4,0,0,0,0,0,0,D3
0,1,2,0,0,1,1,1,1,2,1,0,0,2,2,0,0,0,1,0,1,2,0,1,0,0,0,3,4,0,0,0,0,0,0,D3
