Refractive Index,Na,Mg,Al,Si,K,Ca,Ba,Fe,Class
h,f,e,f,c,e,f,a,a,2.0
c,g,h,g,d,i,b,f,a,2.0
b,d,h,g,f,h,b,f,a,2.0
b,d,f,g,g,h,c,g,a,2.0
d,e,g,g,f,f,b,g,a,2.0
c,f,g,d,f,j,b,g,a,2.0
d,f,g,h,d,j,b,g,a,2.0
d,c,h,h,g,h,b,g,a,2.0
g,f,j,d,f,e,c,g,a,2.0
g,d,j,c,d,h,d,g,a,2.0
b,e,e,f,i,h,a,g,a,2.0
b,d,h,g,h,j,a,g,a,2.0
a,e,f,f,i,d,b,f,a,2.0
b,c,f,j,e,j,b,f,a,2.0
d,c,g,h,i,i,b,f,b,2.0
d,d,e,i,e,i,c,e,b,2.0
a,b,f,i,f,j,b,e,b,2.0
b,f,h,g,e,d,c,e,b,2.0
b,d,h,g,i,j,a,e,b,2.0
d,a,d,h,i,j,e,e,b,2.0
a,e,d,f,h,d,c,f,b,2.0
b,c,e,f,h,d,c,f,b,2.0
g,f,j,e,c,e,c,f,b,2.0
c,g,g,f,d,i,a,f,b,2.0
c,b,d,g,i,i,c,f,b,2.0
g,f,j,c,d,g,c,f,b,2.0
a,i,d,j,c,j,a,h,b,2.0
j,e,i,c,e,e,e,h,d,2.0
d,g,e,i,d,i,b,h,d,2.0
d,b,f,g,j,i,a,i,d,2.0
b,d,g,g,h,j,a,i,d,2.0
c,f,g,h,f,h,a,i,d,2.0
d,h,i,i,b,i,a,i,d,2.0
g,e,j,e,d,g,d,i,d,2.0
g,c,d,f,g,h,g,i,d,2.0
i,h,c,f,c,d,j,c,e,2.0
g,h,a,a,j,b,j,c,e,2.0
j,h,d,c,a,b,j,c,e,2.0
d,a,c,h,f,j,h,c,e,2.0
j,a,b,a,h,a,j,b,f,2.0
d,c,h,d,e,f,f,b,f,2.0
j,h,d,a,a,c,j,c,f,2.0
j,a,b,a,i,a,j,d,g,2.0
j,a,b,a,b,b,j,d,g,2.0
j,j,b,b,e,c,j,d,h,2.0
c,a,f,i,i,i,b,g,h,2.0
b,d,f,g,f,j,b,f,h,2.0
g,e,j,f,c,e,c,f,h,2.0
j,h,a,f,a,d,j,d,h,2.0
c,f,f,g,d,i,b,g,h,2.0
a,j,i,i,b,c,a,g,i,2.0
h,c,i,g,d,g,e,b,i,2.0
f,d,j,b,h,f,d,h,i,2.0
h,g,j,d,d,g,c,e,i,2.0
b,h,f,d,f,d,a,f,i,2.0
g,d,i,b,c,i,h,a,i,2.0
f,h,j,g,b,e,c,e,i,2.0
i,g,c,h,c,e,i,i,i,2.0
g,e,i,b,f,g,d,i,i,2.0
i,h,c,f,b,e,i,e,i,2.0
i,h,c,h,a,d,j,c,i,2.0
a,d,e,h,i,b,d,i,i,2.0
g,a,d,a,j,d,h,d,j,2.0
c,c,g,h,g,i,b,f,j,2.0
c,b,d,f,i,f,g,i,j,2.0
g,c,i,b,c,i,g,a,j,2.0
c,c,d,d,g,g,g,a,j,2.0
j,a,b,b,a,c,j,e,j,2.0
e,a,d,c,j,i,g,a,j,2.0
c,b,f,f,h,j,c,i,j,2.0
f,e,j,e,c,f,e,h,j,2.0
j,a,a,j,a,g,j,j,j,2.0
d,f,i,g,d,i,b,f,j,2.0
g,g,j,d,b,e,c,g,j,2.0
j,a,b,i,c,j,j,d,j,2.0
g,c,i,d,d,h,f,b,j,2.0
